,lat,lon,carpark_number,lat_rad,long_rad,day,hour,total_lots,Region
295843,1.3995552,103.9151956,PL20,0.0244268463034077,1.8136623060739243,20,0,617,East
295844,1.397283175,103.9153029,PL26,0.0243871919864701,1.813664178812212,20,0,375,East
295845,1.341796123,103.7041486,JM11,0.0234187602368448,1.809978841047468,20,0,573,West
295846,1.427501958,103.8426295,Y45M,0.0249146092457658,1.812395788703593,20,0,567,North
295847,1.364752745,103.8493973,A24,0.0238194288758805,1.8125139090967093,20,0,214,Central
295848,1.328341339,103.9303958,B11,0.0231839299559001,1.813927599610886,20,0,1011,East
295849,1.38624791,103.7577023,BJ66,0.02419459027839,1.8109135294390928,20,0,868,West
295850,1.405822332,103.9132578,PL60,0.0245362283914648,1.8136284850836792,20,0,558,East
295851,1.330446424,103.9130662,B50,0.0232206706201845,1.8136251410328328,20,0,581,East
295852,1.335842728,103.9190189,B57,0.023314853892423,1.813729035247216,20,0,426,East
295853,1.295306129,103.8096165,DWSV,0.0226073567723124,1.811819603157632,20,0,2,South
295854,1.332549281,103.9327698,B40,0.0232573723985331,1.8139690337273284,20,0,540,East
295855,1.421502385,103.8470651,Y51,0.024809896943202,1.8124732045278944,20,0,483,North
295856,1.421136649,103.8481191,Y60M,0.0248035136458089,1.8124916002982103,20,0,383,North
295857,1.36839182,103.8413014,A7,0.0238829427163575,1.8123726089857968,20,0,238,Central
295858,1.366406461,103.8552785,A36,0.0238482916649734,1.8126165554006777,20,0,680,Central
295859,1.369470073,103.834375,A51,0.0239017617813771,1.812251720500487,20,0,40,Central
295860,1.380146674,103.7425443,CK14,0.0240881036217488,1.810648972431076,20,0,371,West
295861,1.417484813,103.838599,Y32,0.0247397770838661,1.8123254432080915,20,0,382,North
295862,1.416663702,103.8367405,Y31,0.0247254459933917,1.812293006263943,20,0,313,North
295863,1.380732031,103.7531052,CK6,0.0240983200286984,1.8108332949080497,20,0,40,West
295864,1.381034725,103.7531366,CK6A,0.0241036030356244,1.810833842941435,20,0,300,West
295865,1.375216464,103.8493987,A63,0.024002055224434,1.812513933531319,20,0,715,Central
295866,1.433764331,103.8422879,Y66M,0.0250239082736038,1.8123898266588685,20,0,412,North
295867,1.37979966,103.880717,H93L,0.0240820470848983,1.8130605409824463,20,0,38,North
295868,1.379977547,103.8801172,HG93,0.0240851517987448,1.8130500724975929,20,0,899,North
295869,1.378637279,103.7379293,CKM4,0.0240617597092856,1.8105684254860963,20,0,537,West
295870,1.309353766,103.7843685,GM1M,0.0228525342900873,1.8113789424280888,20,0,1530,South
295871,1.389832707,103.9021878,SK8,0.0242571567890556,1.813435277135484,20,0,659,East
295872,1.296467051,103.8069429,DWSO,0.0226276186835712,1.8117729400347504,20,0,613,South
295873,1.297894076,103.8053307,DSR2,0.0226525249683295,1.81174480183655,20,0,616,South
295874,1.336977799,103.8428533,TPMQ,0.0233346646186169,1.812399694750459,20,0,662,Central
295875,1.389897049,103.9100467,SK84,0.0242582797688029,1.8135724408160685,20,0,611,East
295876,1.280571443,103.8427726,KAS,0.0223501879873648,1.8123982862697527,20,0,26,South
295877,1.40402542,103.9157984,PL71,0.0245048663606962,1.8136728269186555,20,0,737,East
295878,1.399157204,103.8897044,S107,0.0244198999627979,1.81321740070364,20,0,418,North
295879,1.426084586,103.8457635,Y46,0.0248898714376402,1.8124504873223504,20,0,593,North
295880,1.34811649,103.7195173,J35,0.0235290714509292,1.81024707546422,20,0,165,West
295881,1.309491867,103.7887225,GM6A,0.0228549446072376,1.8114549340637205,20,0,167,South
295882,1.39157132,103.8798984,S109,0.0242875013103236,1.8130462537171896,20,0,481,North
295883,1.416014459,103.8440804,Y69M,0.0247141145653962,1.81242111168571,20,0,350,North
295884,1.414859154,103.8403515,Y70M,0.0246939506892815,1.8123560301032324,20,0,1248,North
295885,1.389648316,103.8800824,SK98,0.0242539385589945,1.813049465123013,20,0,816,North
295886,1.370020345,103.8346916,A33,0.0239113658395586,1.812257246212899,20,0,2,Central
295887,1.419134543,103.8415626,Y73M,0.024768570304135,1.812377167785804,20,0,762,North
295888,1.420175735,103.8430832,Y75M,0.0247867425326804,1.8124037072624093,20,0,379,North
295889,1.332300738,103.9229107,B44B,0.0232530345048503,1.813796959971045,20,0,102,East
295890,1.382920111,103.7539442,TWM4,0.0241365092289954,1.810847938220474,20,0,200,West
295891,1.342844454,103.6968535,J74M,0.0234370570644455,1.8098515175332053,20,0,72,West
295893,1.393102897,103.8856562,S113,0.0243142323717214,1.8131467462848607,20,0,426,North
295894,1.337698806,103.7216181,JS4L,0.0233472485646968,1.8102837413411448,20,0,12,West
295895,1.386208983,103.881603,HG3L,0.0241939108740721,1.813076004599619,20,0,725,North
295896,1.329966272,103.9257585,B48B,0.0232122903868744,1.813846663457484,20,0,73,East
295897,1.296072551,103.8119338,DWSP,0.0226207333596721,1.8118600476723887,20,0,604,South
295898,1.318233418,103.9476191,B65L,0.0230075134539186,1.8142282029039447,20,0,5,East
295899,1.324791454,103.9279464,B8B,0.023121972774583,1.813884849516188,20,0,249,East
